# Time-averaged data for fix kinetic_energy
# TimeStep c_ke
0 469134
1 469132
2 469137
3 469179
4 469376
5 469468
6 469451
7 469441
8 469436
9 469426
10 469419
11 469434
12 469428
13 469428
14 469428
15 469427
16 469426
17 469423
18 469417
19 469410
20 469405
21 469399
22 469392
23 469383
24 469373
25 469367
26 469361
27 469361
28 469541
29 470204
30 470199
31 470216
32 470237
33 470139
34 470286
35 470392
36 470393
37 470395
38 470386
39 470373
40 470377
41 470381
42 470373
43 470371
44 470357
45 470353
46 470417
47 470427
48 470440
49 470444
50 470448
51 470437
52 470438
53 470432
54 470422
55 470376
56 470470
57 470489
58 470478
59 470476
60 470478
61 470479
62 470476
63 470480
64 470481
65 470483
66 470477
67 470477
68 470479
69 470482
70 470486
71 470484
72 470477
73 470467
74 471223
75 475068
76 475053
77 475053
78 540162
79 738538
80 1.12487e+06
81 2.62406e+06
82 2.62407e+06
83 2.62407e+06
84 2.62406e+06
85 2.62406e+06
86 2.62407e+06
87 2.62405e+06
88 932298
89 932277
90 932562
91 932841
92 932771
93 932685
94 932734
95 932820
96 932838
97 932834
98 933613
99 934725
100 935045
