# Chunk-averaged data for fix temp_bias and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10 100 435844
  9 0.085 3632.4 294.402
  10 0.095 5144 301.807
  11 0.105 5404.7 304.231
  12 0.115 5043 301.178
  13 0.125 6694.6 301.655
  14 0.135 5072.4 298.194
  15 0.145 5043 303.271
  16 0.155 6646.9 302.753
  17 0.165 5120.1 297.252
  18 0.175 5043 299.958
  19 0.185 6187 300.577
  20 0.195 4024.6 294.188
  21 0.205 3653.2 299.332
  22 0.215 3293 303.537
  23 0.225 3479.6 302.424
  24 0.235 4021.8 296.386
  25 0.245 5938.8 303.513
  26 0.255 5043 295.189
  27 0.265 5591.3 297.218
  28 0.275 6175.7 298.821
  29 0.285 5043 296.686
  30 0.295 5657.8 296.982
  31 0.305 6109.2 299.865
  32 0.315 5043 302.355
  33 0.325 5853.2 298.918
  34 0.335 4887.4 303.247
  35 0.345 3507.9 301.892
  36 0.355 3416 295.097
  37 0.365 3553.3 299.364
  38 0.375 3481.5 299.682
  39 0.385 5580.3 301.844
  40 0.395 5343.6 300.141
  41 0.405 5577.9 297.987
  42 0.415 5487.5 306.184
  43 0.425 6510.9 306.486
  44 0.435 4328.1 325.117
  45 0.445 76.4 335.019
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 25.6 283.976
  57 0.565 3938.7 1142.8
  58 0.575 6649.1 309.55
  59 0.585 5629.2 297.367
  60 0.595 5386.7 300.394
  61 0.605 5577.6 298.955
  62 0.615 5449.8 299.912
  63 0.625 3592.3 298.919
  64 0.635 3568.1 294.17
  65 0.645 3401.4 306.496
  66 0.655 3507.6 297.755
  67 0.665 4854.9 296.785
  68 0.675 5909 302.181
  69 0.685 5043 304.072
  70 0.695 5835.9 306.476
  71 0.705 5931.1 296.331
  72 0.715 5043 300.294
  73 0.725 5707.1 303.756
  74 0.735 6059.9 304.989
  75 0.745 5043 304.726
  76 0.755 5836.6 297.287
  77 0.765 4051.9 296.497
  78 0.775 3423.9 306.35
  79 0.785 3364.4 299.192
  80 0.795 3668.9 294.924
  81 0.805 3979.7 293.375
  82 0.815 6272.6 302.493
  83 0.825 5043 298.082
  84 0.835 5057.5 293.221
  85 0.845 6709.5 303.196
  86 0.855 5043 295.002
  87 0.865 5050.8 297.66
  88 0.875 6716.2 297.581
  89 0.885 5043 303.182
  90 0.895 5269.9 298.976
  91 0.905 5192.3 297.634
  92 0.915 3634.6 293.861
  93 0.925 3266.2 293.955
  94 0.935 3491.9 306.4
  95 0.945 3405.1 298.907
  96 0.955 6338 298.572
  97 0.965 5043 301.742
  98 0.975 5043 295.329
  99 0.985 6724 293.435
  100 0.995 5043 303.802
40 100 435844
  1 0.005 5043 296.904
  2 0.015 6724 297.245
  3 0.025 5043 302.281
  4 0.035 5043 300.164
  5 0.045 6294.4 296.753
  6 0.055 3357.3 296.123
  7 0.065 3447.4 305.686
  8 0.075 3286.1 300.31
  9 0.085 3636.1 294.261
  10 0.095 5131.7 301.749
  11 0.105 5445 303.869
  12 0.115 5043 300.481
  13 0.125 6677.2 301.729
  14 0.135 5089.8 299.07
  15 0.145 5043 303.066
  16 0.155 6604.6 302.051
  17 0.165 5162.4 297.429
  18 0.175 5043 299.957
  19 0.185 6142.8 300.602
  20 0.195 4032.1 293.769
  21 0.205 3634.7 299.318
  22 0.215 3259.4 302.359
  23 0.225 3504.1 305.136
  24 0.235 4018.6 295.357
  25 0.245 6006.3 303.078
  26 0.255 5043 295.152
  27 0.265 5394.5 297.723
  28 0.275 6372.5 298.604
  29 0.285 5043 296.197
  30 0.295 5423.9 297.633
  31 0.305 6343.1 299.115
  32 0.315 5043 302.597
  33 0.325 5713.3 298.887
  34 0.335 4966.3 303.615
  35 0.345 3497.7 301.724
  36 0.355 3427 294.23
  37 0.365 3569.3 300.869
  38 0.375 3497.1 298.606
  39 0.385 5567 302.515
  40 0.395 5358.1 299.842
  41 0.405 5528.8 298.16
  42 0.415 5538.1 305.815
  43 0.425 6469.4 304.939
  44 0.435 4392.2 375.116
  45 0.445 79.7 348.237
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 26 274.141
  57 0.565 3998.3 2555.12
  58 0.575 6633.9 315.807
  59 0.585 5613.3 297.755
  60 0.595 5404.2 299.943
  61 0.605 5596.6 298.842
  62 0.615 5396.2 300.652
  63 0.625 3606.2 299.41
  64 0.635 3605.3 294.328
  65 0.645 3402.3 308.487
  66 0.655 3504.3 297.953
  67 0.665 4911.1 294.586
  68 0.675 5792.3 302.938
  69 0.685 5043 303.587
  70 0.695 6103.5 306.423
  71 0.705 5663.5 296.509
  72 0.715 5043 301.285
  73 0.725 5988.2 303.334
  74 0.735 5778.8 305.95
  75 0.745 5043 304.511
  76 0.755 5896.8 296.654
  77 0.765 4055.5 296.421
  78 0.775 3449.1 306.889
  79 0.785 3332.4 298.451
  80 0.795 3643.8 294.743
  81 0.805 3992 292.962
  82 0.815 6228.4 302.75
  83 0.825 5043 298.581
  84 0.835 5069.8 293.362
  85 0.845 6697.2 302.703
  86 0.855 5043 294.931
  87 0.865 5058 298.363
  88 0.875 6709 296.84
  89 0.885 5043 303.886
  90 0.895 5299.8 298.822
  91 0.905 5183.4 296.964
  92 0.915 3649 293.537
