# Chunk-averaged data for fix velocity_z and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vz
10 100 440002
  97 0.965 5096.7 -29.9977
  98 0.975 6441.3 -30.0078
  99 0.985 3394.9 -29.9298
  100 0.995 3736.1 -30.0057
30 100 440002
  1 0.005 3716.7 29.9415
  2 0.015 3451.6 29.9479
  3 0.025 6422.8 30.0236
  4 0.035 5058.9 30.0281
  5 0.045 6724 30.0176
  6 0.055 5043 29.9755
  7 0.065 6708.5 30.0122
  8 0.075 5058.5 30.0051
  9 0.085 6594.8 30.0375
  10 0.095 5172.2 29.931
  11 0.105 6105.8 30.0296
  12 0.115 4797.2 30.0285
  13 0.125 3627 29.9593
  14 0.135 3675 30.0759
  15 0.145 3677 29.9875
  16 0.155 3766.5 29.9758
  17 0.165 6630.5 29.9901
  18 0.175 5043 30.014
  19 0.185 6724 30.0428
  20 0.195 5043 30.036
  21 0.205 6724 29.9827
  22 0.215 5043 29.9567
  23 0.225 6723.7 29.9692
  24 0.235 5043.3 30.0151
  25 0.245 6556.4 29.9745
  26 0.255 3834.4 29.9794
  27 0.265 3683.2 30.0034
  28 0.275 3675.3 29.9915
  29 0.285 3620 30.0319
  30 0.295 4763.6 30.0275
  31 0.305 6146.1 29.9582
  32 0.315 5127.9 29.9935
  33 0.325 6639.1 30.0064
  34 0.335 5044.3 29.9981
  35 0.345 6722.7 29.995
  36 0.355 5043 29.9417
  37 0.365 6724 29.952
  38 0.375 5043 30.0129
  39 0.385 6565.7 30.0095
  40 0.395 3250.6 29.9709
  41 0.405 5158.3 29.8822
  42 0.415 5709.6 30.0688
  43 0.425 137.8 30.4051
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 0 0
  57 0.565 0 0
  58 0.575 136.1 -32.7897
  59 0.585 5673.2 -29.9937
  60 0.595 5178.3 -29.9627
  61 0.605 3209.2 -29.9366
  62 0.615 6567.2 -30.0065
  63 0.625 5043 -30.0833
  64 0.635 6724 -29.9814
  65 0.645 5043 -29.9841
  66 0.655 6722.3 -29.9708
  67 0.665 5044.7 -29.9678
  68 0.675 6669.2 -30.0228
  69 0.685 5097.8 -30.0221
  70 0.695 6158.3 -29.9983
  71 0.705 4750 -30.018
  72 0.715 3621.7 -30.0402
  73 0.725 3676.6 -30.0705
  74 0.735 3685.8 -30.0273
  75 0.745 3844.1 -29.9689
  76 0.755 6542.5 -29.9836
  77 0.765 5043 -29.9802
  78 0.775 6724 -30.0442
  79 0.785 5043 -29.94
  80 0.795 6724 -29.9977
  81 0.805 5043 -30.007
  82 0.815 6724 -30.0277
  83 0.825 5043 -29.9902
  84 0.835 6663.2 -30.0042
  85 0.845 3735.3 -30.0298
  86 0.855 3675.5 -29.959
  87 0.865 3675 -29.9816
  88 0.875 3630.8 -29.9846
  89 0.885 4887.9 -29.9571
  90 0.895 6011.3 -30.0079
  91 0.905 5246.8 -29.9762
  92 0.915 6520.2 -29.9452
  93 0.925 5068.8 -29.9516
  94 0.935 6698.2 -29.9802
  95 0.945 5054.5 -30.0166
  96 0.955 6712.5 -30.0024
  97 0.965 5103.3 -29.9963
  98 0.975 6434.7 -30.0068
  99 0.985 3394.6 -29.9266
  100 0.995 3739.4 -29.9736
40 100 440002
  1 0.005 3714.3 29.9284
  2 0.015 3453.1 29.9483
  3 0.025 6424.7 30.0218
  4 0.035 5058.4 30.0317
  5 0.045 6724 30.0167
  6 0.055 5043 29.9736
  7 0.065 6705.5 30.0136
  8 0.075 5061.5 30.0032
  9 0.085 6558.4 30.0358
  10 0.095 5208.6 29.9349
  11 0.105 6056.2 30.0306
  12 0.115 4842.8 30.0275
  13 0.125 3631 29.9618
  14 0.135 3675 30.0755
  15 0.145 3675 29.9908
  16 0.155 3736.4 29.9675
  17 0.165 6662.6 29.9929
  18 0.175 5043 30.0126
  19 0.185 6724 30.0418
  20 0.195 5043 30.0383
  21 0.205 6724 29.9829
  22 0.215 5043 29.9545
  23 0.225 6722.5 29.9701
  24 0.235 5044.5 30.0137
  25 0.245 6495.5 29.9761
  26 0.255 3890.7 29.9733
  27 0.265 3687.8 30.0064
  28 0.275 3675 29.9893
  29 0.285 3615 30.0327
  30 0.295 4620.6 30.0254
  31 0.305 6294.4 29.961
  32 0.315 5062.5 29.9963
  33 0.325 6704.5 30.0039
  34 0.335 5043 29.9973
  35 0.345 6724 29.9955
  36 0.355 5043 29.9432
  37 0.365 6724 29.9502
  38 0.375 5043 30.0127
  39 0.385 6547.8 30.0102
  40 0.395 3222.2 29.9741
  41 0.405 5118.1 29.8479
  42 0.415 5789.2 30.0329
  43 0.425 144.7 32.934
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 0 0
  57 0.565 0.4 -7278.34
  58 0.575 146.1 -50.5959
  59 0.585 5730 -29.8329
  60 0.595 5160.3 -29.1973
  61 0.605 3176.5 -29.7976
  62 0.615 6550.7 -30.0013
  63 0.625 5043 -30.0848
  64 0.635 6724 -29.9804
  65 0.645 5043 -29.9851
  66 0.655 6724 -29.971
  67 0.665 5043 -29.9678
  68 0.675 6711.6 -30.0222
  69 0.685 5055.4 -30.0212
  70 0.695 6303 -30.0037
  71 0.705 4614.1 -30.0158
  72 0.715 3612.9 -30.0331
  73 0.725 3678.7 -30.0699
  74 0.735 3690.4 -30.0285
  75 0.745 3912.4 -29.9706
  76 0.755 6467.5 -29.9856
  77 0.765 5043 -29.9773
  78 0.775 6724 -30.0453
  79 0.785 5043 -29.9386
  80 0.795 6724 -29.9977
  81 0.805 5043 -30.0054
  82 0.815 6724 -30.0295
  83 0.825 5043 -29.9889
  84 0.835 6683.5 -30.0027
  85 0.845 3716.5 -30.0383
  86 0.855 3674 -29.9546
  87 0.865 3675.3 -29.9797
  88 0.875 3632.2 -29.9872
  89 0.885 4936.4 -29.9616
  90 0.895 5961.1 -30.0069
  91 0.905 5307.7 -29.9782
  92 0.915 6459.3 -29.9432
  93 0.925 5074.6 -29.9499
  94 0.935 6692.4 -29.9811
  95 0.945 5056.4 -30.0187
  96 0.955 6710.6 -30.0034
  97 0.965 5107.4 -29.9931
  98 0.975 6431.1 -30.0071
  99 0.985 3394.7 -29.9234
  100 0.995 3738.3 -29.9962
50 100 440002
  1 0.005 3714.3 29.9072
  2 0.015 3453.8 29.9462
  3 0.025 6424.6 30.0205
  4 0.035 5059.2 30.0346
  5 0.045 6723.5 30.0156
  6 0.055 5043.5 29.9717
  7 0.065 6696.8 30.0145
  8 0.075 5070.2 30.0019
  9 0.085 6509.5 30.0353
  10 0.095 5257.5 29.9375
  11 0.105 6007.9 30.0334
  12 0.115 4885.2 30.0223
  13 0.125 3636.9 29.9666
  14 0.135 3675 30.0749
  15 0.145 3675 29.9926
  16 0.155 3714.3 29.9593
  17 0.165 6684.7 29.9966
  18 0.175 5043 30.0111
  19 0.185 6724 30.0408
  20 0.195 5043 30.0404
  21 0.205 6724 29.9829
  22 0.215 5043 29.9528
  23 0.225 6720 29.9715
  24 0.235 5047 30.0114
  25 0.245 6420.1 29.9784
  26 0.255 3955.8 29.9668
  27 0.265 3697.4 30.0087
  28 0.275 3675.7 29.9872
  29 0.285 3605.7 30.0324
  30 0.295 4493.3 30.0254
  31 0.305 6431 29.9628
  32 0.315 5046.8 29.9949
  33 0.325 6720.2 30.0044
  34 0.335 5043 29.9969
  35 0.345 6724 29.9958
  36 0.355 5043 29.9447
  37 0.365 6724 29.9484
  38 0.375 5043 30.0123
  39 0.385 6518.8 30.015
  40 0.395 3207 29.9572
  41 0.405 5081.8 29.8335
  42 0.415 5855.6 30.043
  43 0.425 158.8 33.2643
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0.4 -7278.34
  55 0.545 0.3 -7278.34
  56 0.555 0.3 -7278.34
  57 0.565 0 0
  58 0.575 156.5 -34.6874
  59 0.585 5789.1 -30.06
  60 0.595 5122.7 -29.7703
  61 0.605 3176.3 -28.5554
  62 0.615 6518.4 -29.6348
  63 0.625 5043 -30.0862
  64 0.635 6724 -29.9795
  65 0.645 5043 -29.9863
  66 0.655 6724 -29.9707
  67 0.665 5043 -29.9681
  68 0.675 6722.5 -30.0241
  69 0.685 5044.5 -30.0169
  70 0.695 6415.4 -30.007
  71 0.705 4509.5 -30.0143
  72 0.715 3605.1 -30.0288
  73 0.725 3681.5 -30.069
  74 0.735 3696.7 -30.0311
  75 0.745 3995 -29.9679
  76 0.755 6375.8 -29.9897
  77 0.765 5043.2 -29.9747
  78 0.775 6723.8 -30.0462
  79 0.785 5043 -29.9375
  80 0.795 6724 -29.9975
  81 0.805 5043 -30.0038
  82 0.815 6724 -30.0312
  83 0.825 5043 -29.9878
  84 0.835 6697.9 -30.0026
  85 0.845 3702.7 -30.0448
  86 0.855 3673.4 -29.9494
  87 0.865 3676 -29.9779
  88 0.875 3635.6 -29.9882
  89 0.885 4986.4 -29.9688
  90 0.895 5907 -30.0046
  91 0.905 5372.1 -29.9734
  92 0.915 6394.9 -29.9467
  93 0.925 5087.4 -29.9499
  94 0.935 6679.6 -29.9808
  95 0.945 5058.7 -30.0196
  96 0.955 6708.3 -30.0052
  97 0.965 5110.4 -29.9903
  98 0.975 6428 -30.0069
  99 0.985 3398.7 -29.9241
  100 0.995 3733 -29.9779
60 100 440002
  1 0.005 3712.8 29.9102
  2 0.015 3455 29.9421
  3 0.025 6422 30.0192
  4 0.035 5060.8 30.0383
  5 0.045 6723 30.0146
  6 0.055 5044 29.9698
  7 0.065 6686 30.0155
  8 0.075 5081 30.0007
  9 0.085 6446.9 30.0349
  10 0.095 5320.1 29.9404
  11 0.105 5963.8 30.0322
  12 0.115 4925.2 30.0221
  13 0.125 3641 29.971
  14 0.135 3675 30.0742
  15 0.145 3674.6 29.9944
  16 0.155 3701.9 29.9553
  17 0.165 6697.5 29.9982
  18 0.175 5043 30.0094
  19 0.185 6724 30.0399
  20 0.195 5043 30.0424
  21 0.205 6724 29.9828
  22 0.215 5043 29.9516
  23 0.225 6712.9 29.9733
  24 0.235 5054.1 30.0084
  25 0.245 6317.5 29.9798
  26 0.255 4039.5 29.9643
  27 0.265 3714.7 30.0081
  28 0.275 3677.3 29.9858
  29 0.285 3600.5 30.032
  30 0.295 4405.9 30.0265
  31 0.305 6523.6 29.9636
  32 0.315 5043 29.9917
  33 0.325 6724 30.0059
  34 0.335 5043 29.9965
  35 0.345 6724 29.9964
  36 0.355 5043 29.9461
  37 0.365 6724 29.9466
  38 0.375 5043 30.0119
  39 0.385 6472.4 30.0207
  40 0.395 3219.5 29.9405
  41 0.405 5049.7 29.8191
  42 0.415 5910.1 30.0936
  43 0.425 170.3 32.3509
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0.3 -7278.34
  52 0.515 0.4 -7278.34
  53 0.525 0.3 -7278.34
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 0 0
  57 0.565 0 0
  58 0.575 174 -35.683
  59 0.585 5843.1 -30.0396
  60 0.595 5086.9 -29.9026
  61 0.605 3190.9 -29.861
  62 0.615 6467.1 -29.5795
  63 0.625 5043.5 -29.6207
  64 0.635 6724.5 -29.6355
  65 0.645 5043 -29.9876
  66 0.655 6724 -29.9704
  67 0.665 5043 -29.9683
  68 0.675 6724 -30.0252
  69 0.685 5043 -30.0135
  70 0.695 6522.9 -30.0084
  71 0.705 4412.7 -30.0164
  72 0.715 3594.5 -30.0243
  73 0.725 3684.8 -30.0684
  74 0.735 3705.5 -30.0325
  75 0.745 4096.9 -29.9711
  76 0.755 6261.7 -29.9905
  77 0.765 5049.5 -29.974
  78 0.775 6717.5 -30.0455
  79 0.785 5043 -29.9367
  80 0.795 6724 -29.9971
  81 0.805 5043 -30.0023
  82 0.815 6724 -30.033
  83 0.825 5043 -29.9868
  84 0.835 6705.9 -30.0024
  85 0.845 3695.4 -30.0517
  86 0.855 3672.7 -29.9439
  87 0.865 3676 -29.9754
  88 0.875 3637.8 -29.9914
  89 0.885 5041.5 -29.9752
  90 0.895 5849.7 -30.0018
  91 0.905 5458.4 -29.973
  92 0.915 6308.6 -29.9465
  93 0.925 5108.3 -29.9495
  94 0.935 6658.7 -29.9809
  95 0.945 5064 -30.0199
  96 0.955 6703 -30.0074
  97 0.965 5116.7 -29.9873
  98 0.975 6421.3 -30.0063
  99 0.985 3401.2 -29.9241
  100 0.995 3732.2 -29.9558
70 100 440002
  1 0.005 3713.1 29.8925
  2 0.015 3456.5 29.9395
  3 0.025 6420.9 30.0176
  4 0.035 5061.3 30.041
  5 0.045 6722.7 30.0134
  6 0.055 5044.3 29.9679
  7 0.065 6677.7 30.0181
  8 0.075 5089.3 29.9974
  9 0.085 6385.5 30.0367
  10 0.095 5381.5 29.9404
  11 0.105 5917.9 30.0337
  12 0.115 4968.3 30.0201
  13 0.125 3643.1 29.9728
  14 0.135 3675.7 30.0736
  15 0.145 3673 29.9965
  16 0.155 3695 29.9521
  17 0.165 6706 29.9995
  18 0.175 5043 30.0077
  19 0.185 6724 30.039
  20 0.195 5043 30.0441
  21 0.205 6724 29.9825
  22 0.215 5043 29.9509
  23 0.225 6694.3 29.9744
  24 0.235 5072.7 30.0058
  25 0.245 6200.5 29.9825
  26 0.255 4133.7 29.9585
  27 0.265 3733.6 30.011
  28 0.275 3681.2 29.9826
  29 0.285 3593.3 30.031
  30 0.295 4349.4 30.031
  31 0.305 6587.3 29.9625
  32 0.315 5043 29.9889
  33 0.325 6724 30.0068
  34 0.335 5043 29.996
  35 0.345 6724 29.9972
  36 0.355 5043 29.9476
  37 0.365 6724 29.9447
  38 0.375 5043 30.0115
  39 0.385 6399.4 30.0262
  40 0.395 3258.6 29.9326
  41 0.405 5010.1 29.7709
  42 0.415 5968.8 30.1326
  43 0.425 185.1 32.6299
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0.3 -7278.34
  49 0.485 0.4 -7278.34
  50 0.495 0.3 -7278.34
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 0 0
  57 0.565 0 0
  58 0.575 185.9 -36.0454
  59 0.585 5910.2 -30.074
  60 0.595 5041.8 -29.8385
  61 0.605 3240.4 -29.9667
  62 0.615 6382.7 -29.9948
  63 0.625 5043.8 -29.6086
  64 0.635 6724.2 -29.8587
  65 0.645 5043.7 -29.4517
  66 0.655 6724.3 -29.7974
  67 0.665 5043 -29.9685
  68 0.675 6724 -30.0259
  69 0.685 5043 -30.0105
  70 0.695 6612.5 -30.0075
  71 0.705 4334.5 -30.0231
  72 0.715 3584.4 -30.0203
  73 0.725 3685 -30.066
  74 0.735 3722 -30.0314
  75 0.745 4200.4 -29.9756
  76 0.755 6140.2 -29.9922
  77 0.765 5065.2 -29.9731
  78 0.775 6701.8 -30.0449
  79 0.785 5043 -29.9363
  80 0.795 6724 -29.9966
  81 0.805 5043 -30.0009
  82 0.815 6724 -30.0346
  83 0.825 5043 -29.986
  84 0.835 6712.8 -30.0012
  85 0.845 3690.2 -30.06
  86 0.855 3671 -29.9385
  87 0.865 3676 -29.9728
  88 0.875 3641.6 -29.9954
  89 0.885 5086.2 -29.9777
  90 0.895 5801.2 -30.0017
