# Time-averaged data for fix kinetic_energy
# TimeStep c_ke
0 1.03434e+06
1 1.03433e+06
2 1.03434e+06
3 1.03438e+06
4 1.03457e+06
5 1.03466e+06
6 1.03465e+06
7 1.03464e+06
8 1.03463e+06
9 1.03462e+06
10 1.03461e+06
11 1.03462e+06
12 1.03462e+06
13 1.03462e+06
14 1.03461e+06
15 1.03461e+06
16 1.03461e+06
17 1.03461e+06
18 1.0346e+06
19 1.03459e+06
20 1.03459e+06
21 1.03458e+06
22 1.03457e+06
23 1.03456e+06
24 1.03455e+06
25 1.03454e+06
26 1.03453e+06
27 1.03453e+06
28 1.03471e+06
29 1.03537e+06
30 1.03537e+06
31 1.03539e+06
32 1.03541e+06
33 1.03531e+06
34 1.03545e+06
35 1.03556e+06
36 1.03556e+06
37 1.03556e+06
38 1.03555e+06
39 1.03553e+06
40 1.03554e+06
41 1.03554e+06
42 1.03553e+06
43 1.03553e+06
44 1.03551e+06
45 1.03551e+06
46 1.03557e+06
47 1.03558e+06
48 1.03559e+06
49 1.0356e+06
50 1.0356e+06
51 1.03559e+06
52 1.03559e+06
53 1.03558e+06
54 1.03557e+06
55 1.03552e+06
56 1.03562e+06
57 1.03563e+06
58 1.03562e+06
59 1.03562e+06
60 1.03562e+06
61 1.03562e+06
62 1.03562e+06
63 1.03562e+06
64 1.03562e+06
65 1.03562e+06
66 1.03561e+06
67 1.03561e+06
68 1.03561e+06
69 1.03562e+06
70 1.03562e+06
71 1.03562e+06
72 1.03561e+06
73 1.0356e+06
74 1.03635e+06
75 1.0402e+06
76 1.04018e+06
77 1.04018e+06
78 1.10529e+06
79 1.30367e+06
80 1.69006e+06
81 3.18948e+06
82 3.18949e+06
83 3.18948e+06
84 3.18947e+06
85 3.18948e+06
86 3.18948e+06
87 2.085e+06
88 2.085e+06
89 2.08498e+06
90 2.08499e+06
91 2.08499e+06
92 2.08492e+06
93 2.08483e+06
94 2.08488e+06
95 2.08496e+06
96 2.08498e+06
97 1.49598e+06
98 1.49551e+06
99 1.49707e+06
100 1.49737e+06
