# Time-averaged data for fix kinetic_energy
# TimeStep c_ke
0 473105
1 473114
2 473164
3 473322
4 474172
5 476701
6 481553
7 484823
8 484769
9 484968
10 485119
11 485287
12 485579
13 485595
14 485494
15 485390
16 485469
17 485500
18 485574
19 485837
20 485554
21 485579
22 485359
23 486187
24 487787
25 488097
26 488208
27 716211
28 1.42166e+06
29 1.62948e+06
30 2.31144e+06
31 2.41071e+06
32 2.40755e+06
33 2.40744e+06
34 1.49005e+09
35 5.95213e+09
36 5.95213e+09
37 5.95213e+09
38 5.95213e+09
39 5.95213e+09
40 2.18557e+06
41 2.58853e+06
42 2.63602e+06
43 2.64166e+06
44 2.65365e+06
45 2.65361e+06
46 2.65354e+06
47 2.68107e+06
48 2.78082e+06
49 2.78099e+06
50 2.78278e+06
51 2.79309e+06
52 2.80411e+06
53 2.80519e+06
54 2.80518e+06
55 2.805e+06
56 2.80511e+06
57 2.80695e+06
58 2.80703e+06
59 2.80701e+06
60 2.3488e+06
61 2.36596e+06
62 2.37729e+06
63 2.37736e+06
64 2.37726e+06
65 2.3769e+06
66 2.37694e+06
67 2.37745e+06
68 2.39848e+06
69 2.46529e+06
70 2.46398e+06
71 2.62866e+06
72 3.18741e+06
73 3.28166e+06
74 3.5739e+06
75 3.57382e+06
76 3.57299e+06
77 3.57372e+06
78 3.57366e+06
79 3.57423e+06
80 3.57655e+06
81 3.57762e+06
82 3.57978e+06
83 3.58021e+06
84 3.58038e+06
85 3.5806e+06
86 3.61501e+06
87 3.69943e+06
88 3.69998e+06
89 3.6997e+06
90 4.34753e+06
91 5.8433e+06
92 5.8467e+06
93 5.84595e+06
94 5.84529e+06
95 5.84496e+06
96 5.84472e+06
97 5.84532e+06
98 5.84548e+06
99 5.84563e+06
100 3.83121e+06
